timestamp,tag,seed,eval_seed,num_evals,num_demo_transitions,num_random_episodes,action_repeat,hidden_dim,num_layers,normalize,inv_dyn_lr,num_inv_dyn_iters,num_bc_iters,num_random_transitions,random_pos_min,random_pos_max,inv_dyn_train_acc,demo_acc,demo_n_left,demo_acc_left,demo_n_noop,demo_acc_noop,demo_n_right,demo_acc_right,demo_pos_min,demo_pos_max,demo_n_in_range,demo_acc_in_range,demo_n_out_range,demo_acc_out_range,bc_final_loss,return_mean,return_min,return_max,success_rate
2026-09-24T20:25:46,norm_on,0,1000,20,734,5,1,64,2,True,0.01,1000,100,1000,-0.6901350617408752,-0.34488150477409363,1.0,0.7574931979179382,196,0.8061224222183228,110,0.918181836605072,428,0.6939252614974976,-1.1861276626586914,0.49974334239959717,284,0.9295774698257446,450,0.648888885974884,0.7872914671897888,-200.0,-200.0,-200.0,0.0
2026-09-24T20:25:47,norm_off,0,1000,20,734,5,1,64,2,False,0.01,1000,100,1000,-0.6901350617408752,-0.34488150477409363,1.0,0.8569482564926147,196,0.8061224222183228,110,0.8545454740524292,428,0.8808411359786987,-1.1861276626586914,0.49974334239959717,284,1.0,450,0.7666666507720947,0.5448277592658997,-159.45,-171.0,-154.0,1.0
2026-09-24T20:25:49,repeat,0,1000,20,734,5,2,64,2,True,0.01,1000,100,1000,-1.0066418647766113,-2.6715801141108386e-05,1.0,0.9332424998283386,196,0.9744898080825806,110,0.9363636374473572,428,0.913551390171051,-1.1861276626586914,0.49974334239959717,559,1.0,175,0.7200000286102295,0.6600090265274048,-120.85,-162.0,-90.0,1.0
2026-09-24T20:25:51,repeat,0,1000,20,734,5,4,64,2,True,0.01,1000,100,1000,-0.9305732250213623,-0.10847418010234833,1.0,0.8923705816268921,196,0.9132652878761292,110,0.9363636374473572,428,0.8714953064918518,-1.1861276626586914,0.49974334239959717,489,1.0,245,0.6775510311126709,0.659416675567627,-153.25,-200.0,-91.0,0.95
2026-09-24T20:25:53,repeat,0,1000,20,734,5,8,64,2,True,0.01,1000,100,1000,-0.9158703088760376,-0.014742355793714523,1.0,0.9100817441940308,196,0.9642857313156128,110,0.9363636374473572,428,0.8785046935081482,-1.1861276626586914,0.49974334239959717,526,1.0,208,0.682692289352417,0.6599458456039429,-151.4,-174.0,-89.0,1.0
2026-09-24T20:25:54,repeat,0,1000,20,734,5,16,64,2,True,0.01,1000,100,1000,-1.2000000476837158,0.0374964140355587,1.0,0.9700272679328918,196,0.9693877696990967,110,0.9363636374473572,428,0.9789719581604004,-1.1861276626586914,0.49974334239959717,607,0.9851729869842529,127,0.8976377844810486,0.5560975670814514,-151.3,-194.0,-92.0,1.0
2026-09-24T20:25:57,episodes,0,1000,20,734,20,1,64,2,True,0.01,1000,100,4000,-0.7845447063446045,-0.299186110496521,1.0,0.8242506980895996,196,0.7857142686843872,110,0.9272727370262146,428,0.8154205679893494,-1.1861276626586914,0.49974334239959717,373,0.9865951538085938,361,0.6565096974372864,0.7025981545448303,-134.55,-200.0,-128.0,0.95
2026-09-24T20:25:59,episodes,0,1000,20,734,50,1,64,2,True,0.01,1000,100,10000,-0.7845447063446045,-0.2936079204082489,1.0,0.8283378481864929,196,0.8061224222183228,110,0.9090909361839294,428,0.8177570104598999,-1.1861276626586914,0.49974334239959717,376,0.9893617033958435,358,0.659217894077301,0.7412492036819458,-175.85,-200.0,-136.0,0.5
2026-09-24T20:26:06,episodes,0,1000,20,734,200,1,64,2,True,0.01,1000,100,40000,-0.8561280965805054,-0.1937827318906784,1.0,0.8528610467910767,196,0.8367347121238708,110,0.9090909361839294,428,0.8457943797111511,-1.1861276626586914,0.49974334239959717,441,1.0,293,0.6313993334770203,0.6944083571434021,-169.1,-200.0,-101.0,0.5
2026-09-24T20:26:08,repeat_nonorm,0,1000,20,734,5,8,64,2,False,0.01,1000,100,1000,-0.9158703088760376,-0.014742355793714523,1.0,0.7697547674179077,196,0.9438775777816772,110,1.0,428,0.6308411359786987,-1.1861276626586914,0.49974334239959717,526,0.9695817232131958,208,0.26442307233810425,0.642756998538971,-125.5,-200.0,-111.0,0.95
2026-09-24T20:26:10,norm_on,1,1000,20,734,5,1,64,2,True,0.01,1000,100,1000,-0.7870919108390808,-0.2415633499622345,1.0,0.8133515119552612,196,0.7193877696990967,110,0.9363636374473572,428,0.8247663378715515,-1.1861276626586914,0.49974334239959717,389,0.9537274837493896,345,0.6550724506378174,0.5751996040344238,-154.1,-200.0,-121.0,0.95
2026-09-24T20:26:11,norm_off,1,1000,20,734,5,1,64,2,False,0.01,1000,100,1000,-0.7870919108390808,-0.2415633499622345,1.0,0.6444141864776611,196,1.0,110,0.8727272748947144,428,0.42289718985557556,-1.1861276626586914,0.49974334239959717,389,1.0,345,0.24347825348377228,0.6887261271476746,-181.0,-200.0,-173.0,0.75
2026-09-24T20:26:13,repeat,1,1000,20,734,5,2,64,2,True,0.01,1000,100,1000,-0.8434586524963379,-0.19869859516620636,1.0,0.8610354065895081,196,0.831632673740387,110,0.9272727370262146,428,0.8574766516685486,-1.1861276626586914,0.49974334239959717,429,1.0,305,0.66557377576828,0.6214362978935242,-179.5,-200.0,-93.0,0.3
2026-09-24T20:26:15,repeat,1,1000,20,734,5,4,64,2,True,0.01,1000,100,1000,-0.8428223729133606,-0.22784070670604706,1.0,0.835149884223938,196,0.8010203838348389,110,0.9363636374473572,428,0.8247663378715515,-1.1861276626586914,0.49974334239959717,422,0.978672981262207,312,0.6410256624221802,0.579358696937561,-160.15,-200.0,-106.0,0.65
2026-09-24T20:26:17,repeat,1,1000,20,734,5,8,64,2,True,0.01,1000,100,1000,-1.1377499103546143,-0.031516242772340775,1.0,0.9673024415969849,196,0.918367326259613,110,0.9272727370262146,428,1.0,-1.1861276626586914,0.49974334239959717,571,0.996497392654419,163,0.8650306463241577,0.47570106387138367,-150.85,-173.0,-98.0,1.0
2026-09-24T20:26:19,repeat,1,1000,20,734,5,16,64,2,True,0.01,1000,100,961,-1.2000000476837158,0.49411141872406006,1.0,0.9141689538955688,196,0.9591836929321289,110,0.9909090995788574,428,0.8738317489624023,-1.1861276626586914,0.49974334239959717,733,0.9154161214828491,1,0.0,0.6271020770072937,-159.05,-200.0,-103.0,0.7
2026-09-24T20:26:21,episodes,1,1000,20,734,20,1,64,2,True,0.01,1000,100,4000,-0.7870919108390808,-0.2415633499622345,1.0,0.8174387216567993,196,0.7193877696990967,110,0.9363636374473572,428,0.8317757248878479,-1.1861276626586914,0.49974334239959717,389,0.9640102982521057,345,0.6521739363670349,0.5436445474624634,-163.95,-200.0,-124.0,0.9
2026-09-24T20:26:23,episodes,1,1000,20,734,50,1,64,2,True,0.01,1000,100,10000,-0.819970428943634,-0.2415633499622345,1.0,0.8147138953208923,196,0.7091836929321289,110,0.9363636374473572,428,0.8317757248878479,-1.1861276626586914,0.49974334239959717,404,0.9529703259468079,330,0.6454545259475708,0.5594204664230347,-156.55,-175.0,-122.0,1.0
2026-09-24T20:26:30,episodes,1,1000,20,734,200,1,64,2,True,0.01,1000,100,40000,-0.8333598971366882,-0.22984054684638977,1.0,0.8188011050224304,196,0.7448979616165161,110,0.9363636374473572,428,0.822429895401001,-1.1861276626586914,0.49974334239959717,415,0.9614458084106445,319,0.6332288384437561,0.5813316702842712,-156.45,-200.0,-145.0,0.95
2026-09-24T20:26:32,repeat_nonorm,1,1000,20,734,5,8,64,2,False,0.01,1000,100,1000,-1.1377499103546143,-0.031516242772340775,1.0,0.971389651298523,196,0.9591836929321289,110,0.8818181753158569,428,1.0,-1.1861276626586914,0.49974334239959717,571,0.9894921183586121,163,0.907975435256958,0.493244469165802,-151.05,-174.0,-128.0,1.0
2026-09-24T20:26:34,norm_on,2,1000,20,734,5,1,64,2,True,0.01,1000,100,1000,-0.7825967073440552,-0.3139517605304718,1.0,0.7602179646492004,196,0.7806122303009033,110,0.9363636374473572,428,0.7056074738502502,-1.1861276626586914,0.49974334239959717,370,0.8999999761581421,364,0.6181318759918213,0.7879040241241455,-195.55,-200.0,-157.0,0.15
2026-09-24T20:26:36,norm_off,2,1000,20,734,5,1,64,2,False,0.01,1000,100,1000,-0.7825967073440552,-0.3139517605304718,1.0,0.9100817441940308,196,0.75,110,0.8454545736312866,428,1.0,-1.1861276626586914,0.49974334239959717,370,1.0,364,0.8186812996864319,0.42829450964927673,-194.05,-200.0,-173.0,0.25
2026-09-24T20:26:38,repeat,2,1000,20,734,5,2,64,2,True,0.01,1000,100,1000,-0.8417813777923584,-0.2641906440258026,1.0,0.8215258717536926,196,0.7806122303009033,110,0.9272727370262146,428,0.8130841255187988,-1.1861276626586914,0.49974334239959717,412,0.9611650705337524,322,0.6428571343421936,0.6880385279655457,-175.3,-200.0,-89.0,0.4
2026-09-24T20:26:39,repeat,2,1000,20,734,5,4,64,2,True,0.01,1000,100,1000,-1.1648411750793457,0.0724586769938469,1.0,0.9836512207984924,196,0.9795918464660645,110,0.9363636374473572,428,0.9976635575294495,-1.1861276626586914,0.49974334239959717,609,0.9983579516410828,125,0.9120000004768372,0.46115776896476746,-147.85,-171.0,-128.0,1.0
2026-09-24T20:26:41,repeat,2,1000,20,734,5,8,64,2,True,0.01,1000,100,982,-1.2000000476837158,0.49813973903656006,1.0,0.8705722093582153,196,0.8724489808082581,110,0.9272727370262146,428,0.855140209197998,-1.1861276626586914,0.49974334239959717,733,0.8717598915100098,1,0.0,0.5439119338989258,-136.95,-181.0,-96.0,1.0
2026-09-24T20:26:43,repeat,2,1000,20,734,5,16,64,2,True,0.01,1000,100,939,-1.2000000476837158,0.4807935953140259,1.0,0.9741144180297852,196,1.0,110,0.9636363387107849,428,0.9649532437324524,-1.1861276626586914,0.49974334239959717,730,0.9767123460769653,4,0.5,0.47947001457214355,-152.85,-200.0,-89.0,0.8
2026-09-24T20:26:45,episodes,2,1000,20,734,20,1,64,2,True,0.01,1000,100,4000,-0.8862999081611633,-0.19290226697921753,1.0,0.863760232925415,196,0.8214285969734192,110,0.9363636374473572,428,0.8644859790802002,-1.1861276626586914,0.49974334239959717,454,1.0,280,0.6428571343421936,0.5960473418235779,-142.8,-165.0,-110.0,1.0
2026-09-24T20:26:48,episodes,2,1000,20,734,50,1,64,2,True,0.01,1000,100,10000,-0.8862999081611633,-0.19290226697921753,1.0,0.8460490703582764,196,0.8112244606018066,110,0.9363636374473572,428,0.8387850522994995,-1.1861276626586914,0.49974334239959717,454,0.9823788404464722,280,0.625,0.6197075247764587,-185.7,-200.0,-113.0,0.7
2026-09-24T20:26:54,episodes,2,1000,20,734,200,1,64,2,True,0.01,1000,100,40000,-0.8862999081611633,-0.11291893571615219,1.0,0.863760232925415,196,0.8520408272743225,110,0.9363636374473572,428,0.8504672646522522,-1.1861276626586914,0.49974334239959717,480,0.9916666746139526,254,0.6220472455024719,0.5600411891937256,-150.3,-178.0,-120.0,1.0
2026-09-24T20:26:56,repeat_nonorm,2,1000,20,734,5,8,64,2,False,0.01,1000,100,982,-1.2000000476837158,0.49813973903656006,1.0,0.8514986634254456,196,0.8571428656578064,110,0.8999999761581421,428,0.836448609828949,-1.1861276626586914,0.49974334239959717,733,0.8526602983474731,1,0.0,0.5658171772956848,-182.4,-200.0,-121.0,0.6
2026-09-24T20:26:58,norm_on,3,1000,20,734,5,1,64,2,True,0.01,1000,100,1000,-0.6742554306983948,-0.3943076431751251,1.0,0.7043596506118774,196,0.704081654548645,110,0.9363636374473572,428,0.644859790802002,-1.1861276626586914,0.49974334239959717,262,0.927480936050415,472,0.5805084705352783,0.5126984715461731,-195.85,-200.0,-177.0,0.25
2026-09-24T20:27:00,norm_off,3,1000,20,734,5,1,64,2,False,0.01,1000,100,1000,-0.6742554306983948,-0.3943076431751251,1.0,0.8310626745223999,196,0.795918345451355,110,0.8545454740524292,428,0.84112149477005,-1.1861276626586914,0.49974334239959717,262,1.0,472,0.7372881174087524,0.6311834454536438,-181.95,-200.0,-96.0,0.55
2026-09-24T20:27:02,repeat,3,1000,20,734,5,2,64,2,True,0.01,1000,100,1000,-0.793313205242157,-0.22428782284259796,1.0,0.8392370343208313,196,0.8469387888908386,110,0.9363636374473572,428,0.8107476830482483,-1.1861276626586914,0.49974334239959717,397,0.984886646270752,337,0.6676557660102844,0.6214556694030762,-147.5,-186.0,-98.0,1.0
2026-09-24T20:27:04,repeat,3,1000,20,734,5,4,64,2,True,0.01,1000,100,1000,-0.7944352626800537,-0.13422809541225433,1.0,0.8705722093582153,196,0.9132652878761292,110,0.9272727370262146,428,0.836448609828949,-1.1861276626586914,0.49974334239959717,426,0.9976525902748108,308,0.6948052048683167,0.6700081825256348,-153.35,-198.0,-86.0,1.0
2026-09-24T20:27:05,repeat,3,1000,20,734,5,8,64,2,True,0.01,1000,100,1000,-1.160725712776184,-0.018632132560014725,1.0,0.9277929067611694,196,0.9642857313156128,110,0.9363636374473572,428,0.90887850522995,-1.1861276626586914,0.49974334239959717,582,0.9450171589851379,152,0.8618420958518982,0.6712648868560791,-121.9,-171.0,-102.0,1.0
2026-09-24T20:27:07,repeat,3,1000,20,734,5,16,64,2,True,0.01,1000,100,971,-1.2000000476837158,0.48821282386779785,1.0,0.9414169192314148,196,1.0,110,0.9727272987365723,428,0.9065420627593994,-1.1861276626586914,0.49974334239959717,731,0.9411764740943909,3,1.0,0.6199323534965515,-144.55,-200.0,-96.0,0.95
2026-09-24T20:27:09,episodes,3,1000,20,734,20,1,64,2,True,0.01,1000,100,4000,-0.7933372259140015,-0.2588841915130615,1.0,0.8405994772911072,196,0.8112244606018066,110,0.9363636374473572,428,0.8294392228126526,-1.1861276626586914,0.49974334239959717,387,0.9974160194396973,347,0.6657060384750366,0.6387725472450256,-150.35,-183.0,-98.0,1.0
2026-09-24T20:27:12,episodes,3,1000,20,734,50,1,64,2,True,0.01,1000,100,10000,-0.7933372259140015,-0.23343829810619354,1.0,0.8460490703582764,196,0.8214285969734192,110,0.9363636374473572,428,0.8341121673583984,-1.1861276626586914,0.49974334239959717,395,1.0,339,0.6666666865348816,0.5536025166511536,-148.45,-190.0,-90.0,1.0
2026-09-24T20:27:19,episodes,3,1000,20,734,200,1,64,2,True,0.01,1000,100,40000,-0.850298285484314,-0.17383691668510437,1.0,0.8555858135223389,196,0.8367347121238708,110,0.9363636374473572,428,0.8434579372406006,-1.1861276626586914,0.49974334239959717,442,1.0,292,0.6369863152503967,0.6637125015258789,-150.6,-176.0,-89.0,1.0
2026-09-24T20:27:20,repeat_nonorm,3,1000,20,734,5,8,64,2,False,0.01,1000,100,1000,-1.160725712776184,-0.018632132560014725,1.0,0.7547683715820312,196,0.9387755393981934,110,0.918181836605072,428,0.6285046935081482,-1.1861276626586914,0.49974334239959717,582,0.8883161544799805,152,0.2434210479259491,0.7021189332008362,-134.85,-200.0,-112.0,0.95
2026-09-24T20:27:22,norm_on,4,1000,20,734,5,1,64,2,True,0.01,1000,100,1000,-0.7632055282592773,-0.30349329113960266,1.0,0.8174387216567993,196,0.7653061151504517,110,0.9363636374473572,428,0.8107476830482483,-1.1861276626586914,0.49974334239959717,351,0.9629629850387573,383,0.6840730905532837,0.5069736242294312,-180.45,-200.0,-121.0,0.45
2026-09-24T20:27:24,norm_off,4,1000,20,734,5,1,64,2,False,0.01,1000,100,1000,-0.7632055282592773,-0.30349329113960266,1.0,0.8487738370895386,196,0.7908163070678711,110,0.918181836605072,428,0.8574766516685486,-1.1861276626586914,0.49974334239959717,351,0.994301974773407,383,0.7154046893119812,0.47393691539764404,-153.4,-184.0,-92.0,1.0
2026-09-24T20:27:26,repeat,4,1000,20,734,5,2,64,2,True,0.01,1000,100,1000,-0.9310274124145508,-0.21906578540802002,1.0,0.8841961622238159,196,0.8418367505073547,110,0.918181836605072,428,0.894859790802002,-1.1861276626586914,0.49974334239959717,457,1.0,277,0.6931408047676086,0.6157430410385132,-146.25,-163.0,-128.0,1.0
2026-09-24T20:27:28,repeat,4,1000,20,734,5,4,64,2,True,0.01,1000,100,1000,-0.790788471698761,-0.24232615530490875,1.0,0.8419618606567383,196,0.7806122303009033,110,0.9363636374473572,428,0.8457943797111511,-1.1861276626586914,0.49974334239959717,389,0.9820051193237305,345,0.6840579509735107,0.6053705811500549,-156.35,-200.0,-128.0,0.8
