timestamp,tag,seed,num_demo_transitions,num_random_episodes,action_repeat,hidden_dim,num_layers,normalize,inv_dyn_lr,num_inv_dyn_iters,num_bc_iters,num_random_transitions,random_pos_min,random_pos_max,inv_dyn_train_acc,demo_acc,demo_n_left,demo_acc_left,demo_n_noop,demo_acc_noop,demo_n_right,demo_acc_right,demo_pos_min,demo_pos_max,demo_n_in_range,demo_acc_in_range,demo_n_out_range,demo_acc_out_range,bc_final_loss,return_mean,return_min,return_max,success_rate
2026-09-24T19:12:46,baseline,0,249,5,1,64,2,True,0.01,1000,100,1000,-0.7327311038970947,-0.3142262399196625,1.0,0.891566276550293,37,1.0,61,1.0,151,0.8211920261383057,-0.9386533498764038,0.4995170831680298,120,1.0,129,0.7906976938247681,0.4432653784751892,-185.16666666666666,-200.0,-169.0,0.5
2026-09-24T19:12:48,baseline,1,249,5,1,64,2,True,0.01,1000,100,1000,-0.7397791743278503,-0.344921350479126,1.0,0.7911646366119385,37,0.8108108043670654,61,1.0,151,0.7019867300987244,-0.9386533498764038,0.4995170831680298,118,0.8898305296897888,131,0.7022900581359863,0.6326526403427124,-200.0,-200.0,-200.0,0.0
2026-09-24T19:12:49,baseline,2,249,5,1,64,2,True,0.01,1000,100,1000,-0.768061637878418,-0.29974645376205444,1.0,0.9236947894096375,37,1.0,61,1.0,151,0.8741722106933594,-0.9386533498764038,0.4995170831680298,128,1.0,121,0.8429751992225647,0.42754775285720825,-168.83333333333334,-200.0,-128.0,0.6666666666666666
2026-09-24T19:12:51,width,2,249,5,1,2,2,True,0.01,1000,100,1000,-0.7216818928718567,-0.33772024512290955,1.0,0.9678714871406555,37,1.0,61,0.868852436542511,151,1.0,-0.9386533498764038,0.4995170831680298,116,1.0,133,0.9398496150970459,0.43073228001594543,-200.0,-200.0,-200.0,0.0
2026-09-24T19:12:52,width,4,249,5,1,2,2,True,0.01,1000,100,1000,-0.6850666999816895,-0.3440820574760437,0.6819999814033508,0.7550200819969177,37,1.0,61,0.0,151,1.0,-0.9386533498764038,0.4995170831680298,111,0.5495495200157166,138,0.9202898740768433,0.2021789699792862,-187.33333333333334,-200.0,-124.0,0.16666666666666666
2026-09-24T19:12:54,width,8,249,5,1,2,2,True,0.01,1000,100,1000,-0.6668336391448975,-0.36469992995262146,1.0,0.9678714871406555,37,1.0,61,0.868852436542511,151,1.0,-0.9386533498764038,0.4995170831680298,105,1.0,144,0.9444444179534912,0.5796887278556824,-200.0,-200.0,-200.0,0.0
2026-09-24T19:12:56,width,2,249,5,1,4,2,True,0.01,1000,100,1000,-0.8544204235076904,-0.2511003315448761,1.0,1.0,37,1.0,61,1.0,151,1.0,-0.9386533498764038,0.4995170831680298,150,1.0,99,1.0,0.3916071951389313,-194.16666666666666,-200.0,-165.0,0.16666666666666666
2026-09-24T19:12:57,width,4,249,5,1,4,2,True,0.01,1000,100,1000,-0.7389829754829407,-0.3023908734321594,1.0,0.9678714871406555,37,1.0,61,1.0,151,0.9470198750495911,-0.9386533498764038,0.4995170831680298,124,1.0,125,0.9359999895095825,0.4229753315448761,-181.66666666666666,-200.0,-129.0,0.3333333333333333
2026-09-24T19:12:59,width,8,249,5,1,4,2,True,0.01,1000,100,1000,-0.7308995127677917,-0.29483911395072937,1.0,0.9759036302566528,37,1.0,61,1.0,151,0.9602649211883545,-0.9386533498764038,0.4995170831680298,124,1.0,125,0.9520000219345093,0.37451034784317017,-166.5,-200.0,-159.0,0.8333333333333334
2026-09-24T19:13:00,width,2,249,5,1,8,2,True,0.01,1000,100,1000,-0.7169831395149231,-0.32642480731010437,1.0,0.935742974281311,37,1.0,61,1.0,151,0.8940397500991821,-0.9386533498764038,0.4995170831680298,118,1.0,131,0.8778625726699829,0.419137567281723,-182.66666666666666,-200.0,-132.0,0.3333333333333333
2026-09-24T19:13:02,width,4,249,5,1,8,2,True,0.01,1000,100,1000,-0.7718842625617981,-0.350864052772522,1.0,0.935742974281311,37,1.0,61,1.0,151,0.8940397500991821,-0.9386533498764038,0.4995170831680298,121,1.0,128,0.875,0.5677523612976074,-196.5,-200.0,-179.0,0.16666666666666666
2026-09-24T19:13:04,width,8,249,5,1,8,2,True,0.01,1000,100,1000,-0.7546314001083374,-0.2734321057796478,1.0,0.9638554453849792,37,1.0,61,1.0,151,0.940397322177887,-0.9386533498764038,0.4995170831680298,131,1.0,118,0.9237288236618042,0.43826809525489807,-174.0,-200.0,-124.0,0.5
2026-09-24T19:13:05,width,2,249,5,1,16,2,True,0.01,1000,100,1000,-0.7334262132644653,-0.32479482889175415,1.0,0.9397590160369873,37,1.0,61,1.0,151,0.9006622433662415,-0.9386533498764038,0.4995170831680298,121,1.0,128,0.8828125,0.496748149394989,-180.0,-200.0,-161.0,0.6666666666666666
2026-09-24T19:13:07,width,4,249,5,1,16,2,True,0.01,1000,100,1000,-0.651737630367279,-0.41461047530174255,1.0,0.7269076108932495,37,0.8648648858070374,61,1.0,151,0.5827814340591431,-0.9386533498764038,0.4995170831680298,88,0.8636363744735718,161,0.6521739363670349,0.5652381777763367,-200.0,-200.0,-200.0,0.0
2026-09-24T19:13:08,width,8,249,5,1,16,2,True,0.01,1000,100,1000,-0.8065064549446106,-0.2461104542016983,1.0,0.9839357137680054,37,1.0,61,1.0,151,0.9735099077224731,-0.9386533498764038,0.4995170831680298,142,1.0,107,0.9626168012619019,0.42063966393470764,-188.0,-200.0,-170.0,0.5
2026-09-24T19:13:10,width,2,249,5,1,32,2,True,0.01,1000,100,1000,-0.7692729234695435,-0.31489813327789307,1.0,0.9196786880493164,37,1.0,61,1.0,151,0.8675496578216553,-0.9386533498764038,0.4995170831680298,125,1.0,124,0.8387096524238586,0.46401718258857727,-193.33333333333334,-200.0,-180.0,0.3333333333333333
2026-09-24T19:13:12,width,4,249,5,1,32,2,True,0.01,1000,100,1000,-0.7510629296302795,-0.2537321150302887,1.0,0.9317269325256348,37,1.0,61,1.0,151,0.887417197227478,-0.9386533498764038,0.4995170831680298,132,1.0,117,0.8547008633613586,0.4276525676250458,-188.16666666666666,-200.0,-164.0,0.3333333333333333
2026-09-24T19:13:13,width,8,249,5,1,32,2,True,0.01,1000,100,1000,-0.7647413015365601,-0.2527499198913574,1.0,0.9277108311653137,37,1.0,61,1.0,151,0.8807947039604187,-0.9386533498764038,0.4995170831680298,135,1.0,114,0.8421052694320679,0.4106774628162384,-186.5,-200.0,-147.0,0.3333333333333333
2026-09-24T19:13:15,width,2,249,5,1,128,2,True,0.01,1000,100,1000,-0.8690022826194763,-0.26927801966667175,1.0,1.0,37,1.0,61,1.0,151,1.0,-0.9386533498764038,0.4995170831680298,150,1.0,99,1.0,0.2981254756450653,-193.33333333333334,-200.0,-160.0,0.16666666666666666
2026-09-24T19:13:17,width,4,249,5,1,128,2,True,0.01,1000,100,1000,-0.7792292237281799,-0.3564766049385071,1.0,0.9477911591529846,37,1.0,61,1.0,151,0.9139072895050049,-0.9386533498764038,0.4995170831680298,122,1.0,127,0.8976377844810486,0.45031073689460754,-193.16666666666666,-200.0,-159.0,0.16666666666666666
2026-09-24T19:13:19,width,8,249,5,1,128,2,True,0.01,1000,100,1000,-0.7412068843841553,-0.2700224220752716,1.0,0.9518072009086609,37,1.0,61,1.0,151,0.9205297827720642,-0.9386533498764038,0.4995170831680298,128,1.0,121,0.9008264541625977,0.4369858503341675,-175.0,-200.0,-129.0,0.5
2026-09-24T19:13:21,width,2,249,5,1,256,2,True,0.01,1000,100,1000,-0.7456362843513489,-0.3169354200363159,1.0,0.891566276550293,37,1.0,61,1.0,151,0.8211920261383057,-0.9386533498764038,0.4995170831680298,122,0.868852436542511,127,0.913385808467865,0.5847021341323853,-200.0,-200.0,-200.0,0.0
